longitude,latitude,price
112.6220579,22.32450622,3800
112.875566,23.178863,700
112.97077,23.142186,2600
113.0283967,23.68350495,1000
113.037988,23.689018,1400
113.057115,23.681733,1600
113.057115,23.681733,1800
113.0598984,22.88442612,600
113.0682184,23.66880612,1100
113.0682184,23.66880612,2300
113.0682184,23.66880612,2500
113.0682184,23.66880612,2500
113.0695877,23.50025177,1000
113.069628,23.668376,1400
113.069628,23.668376,2100
113.073215,23.685437,2500
113.0896256,23.23115407,1350
113.0896256,23.23115407,1400
113.0896256,23.23115407,1500
113.0896256,23.23115407,1800
113.0896256,23.23115407,1800
113.0896256,23.23115407,1800
113.0896256,23.23115407,1900
113.0896256,23.23115407,2300
113.0896256,23.23115407,2500
113.113659,23.040092,2500
113.113659,23.040092,2500
113.113659,23.040092,2500
113.143788,23.012614,2500
113.152005,23.066623,800
113.1539662,23.02119588,2000
113.1539662,23.02119588,2100
113.1539662,23.02119588,3200
113.157579,23.474593,2500
113.159593,23.072152,1800
113.162162,23.387644,1680
113.1623756,23.06904448,2300
113.1623756,23.06904448,2500
113.1623756,23.06904448,2800
113.1623756,23.06904448,2900
113.1623756,23.06904448,3000
113.1623756,23.06904448,3300
113.1623756,23.06904448,3400
113.1623756,23.06904448,3500
113.1623756,23.06904448,3500
113.1623756,23.06904448,3800
113.1623756,23.06904448,4800
113.164716,23.072226,2000
113.164716,23.072226,2800
113.164716,23.072226,3700
113.165382,23.045303,800
113.169833,23.382471,2000
113.169833,23.382471,2200
113.169833,23.382471,2600
113.169833,23.382471,3000
113.1809387,23.43443489,2300
113.181229,23.434103,2100
113.181229,23.434103,2200
113.183365,23.432097,1500
113.183365,23.432099,1900
113.186347,23.42898,2000
113.186347,23.42898,2100
113.1870299,22.84851008,6000
113.1870299,22.84851008,10000
113.1870299,22.84851008,15000
113.188596,23.379008,1700
113.188596,23.379,1700
113.188596,23.379,2000
113.188644,23.38231,2000
113.188644,23.38231,2000
113.190282,23.153838,2800
113.190489,23.131188,1100
113.191139,23.375119,1000
113.191139,23.375119,1200
113.191139,23.375119,1300
113.191139,23.375119,1300
113.191139,23.375119,1300
113.191139,23.375119,1300
113.191139,23.375119,1300
113.191139,23.375119,1300
113.191139,23.375119,1400
113.191139,23.375119,1500
113.191139,23.375119,1500
113.191139,23.375119,1500
113.191139,23.375119,1600
113.191139,23.375119,1600
113.191139,23.375119,1600
113.191139,23.375119,1800
113.191139,23.375119,1800
113.191139,23.375119,1800
113.191139,23.375119,1800
113.191139,23.375119,1900
113.191139,23.375119,2000
113.191139,23.375119,2000
113.191139,23.375119,2000
113.191139,23.375119,2000
113.191139,23.375119,2000
113.191139,23.375119,2000
113.191139,23.375119,2000
113.191139,23.375119,2000
113.191139,23.375119,2000
113.191139,23.375119,2000
113.191139,23.375119,2000
113.191139,23.375119,2000
113.191139,23.375119,3000
113.191725,23.380377,1900
113.191725,23.380377,2500
113.1923218,23.11356735,700
113.1924591,23.1216526,400
113.1926651,23.15955162,2600
113.1926651,23.15955162,2600
113.1926651,23.15955162,2600
113.1926651,23.15955162,3200
113.1926651,23.15955162,3200
113.1926651,23.15955162,3200
113.1926651,23.15955162,4800
113.1926651,23.15955162,12000
113.192885,23.474598,2300
113.193309,23.157965,5000
113.193309,23.157965,12000
113.194072,23.036797,2800
113.194072,23.036797,2800
113.194072,23.036797,3000
113.194794,23.421728,2200
113.194794,23.421728,2800
113.1953125,23.13441849,4700
113.1953125,23.13441849,5100
113.1953125,23.13441849,5500
113.1953125,23.13441849,5500
113.1953125,23.13441849,6800
113.195321,23.430297,2000
113.195321,23.430297,2100
113.195321,23.430297,2100
113.195321,23.430297,2300
113.195321,23.430297,2500
113.195321,23.430297,3200
113.195389,23.420313,2700
113.195401,23.430306,2300
113.1963196,23.10295868,3000
113.196687,23.422522,2000
113.196687,23.422522,2100
113.196687,23.422522,2700
113.196688,23.42253,2300
113.196688,23.42253,2400
113.196688,23.42253,2500
113.198392,23.131143,4000
113.198983,23.19449,3000
113.199495,23.382902,1800
113.199516,23.382881,1700
113.199516,23.382871,1800
113.199516,23.382871,1800
113.199516,23.382871,2000
113.199516,23.382871,2300
113.199516,23.382871,2300
113.199516,23.382871,2500
113.199516,23.382871,2500
113.199516,23.382881,2500
113.199516,23.382871,2800
113.1997857,23.19296279,1800
113.1997857,23.19296279,2300
113.1997857,23.19296279,2300
113.199926,23.162257,3800
113.200767,23.23653,450
113.200767,23.23653,680
113.200767,23.23653,800
113.200767,23.23653,450
113.200767,23.23653,800
113.200767,23.23653,680
113.200806,23.383997,1800
113.200871,23.423671,2100
113.200871,23.423671,2650
113.2013245,23.3841114,1100
113.201639,23.19006318,1400
113.201794,23.387936,2500
113.201803,23.386257,2000
113.201803,23.386257,2000
113.201875,23.386095,2000
113.2019882,23.38428307,1500
113.2019882,23.38428307,1600
113.202164,23.38648,1700
113.202164,23.38648,1700
113.202164,23.38648,1800
113.202164,23.38648,1800
113.202405,23.376319,1600
113.202405,23.376313,1600
113.202405,23.376313,1900
113.202405,23.376313,1900
113.202405,23.376319,2000
113.202405,23.376313,2000
113.202405,23.376313,2200
113.202405,23.376313,2500
113.202774,23.165209,4500
113.2029545,23.38647996,1600
113.2029545,23.38647996,1700
113.2029545,23.38647996,1700
113.2029545,23.38647996,1700
113.2029545,23.38647996,1800
113.2029545,23.38647996,1800
113.2029545,23.38647996,2400
113.2029545,23.38647996,2400
113.2029545,23.38647996,2400
113.20305,22.949614,5500
113.203207,23.156814,1950
113.203492,23.164234,3800
113.203509,23.386702,2100
113.203554,23.165925,3800
113.203554,23.165925,4000
113.203607,23.388171,1600
113.203735,23.38689,1800
113.204408,23.422469,2300
113.204408,23.422469,2300
113.204408,23.422469,2500
113.204408,23.422469,2800
113.204408,23.422469,3500
113.204555,23.167569,3200
113.204555,23.167569,3200
113.204555,23.167569,3500
