longitude,latitude,weight
113.251263,23.111705,10
113.257432,23.142625,10
113.239395,23.126916,10
113.30016,23.120908,10
113.270798,23.133628,10
113.288053,23.157358,10
113.257391,23.11566,10
113.287015,23.188778,10
113.372722,23.134126,10
113.287321,23.102888,10
113.276979,23.155609,10
113.345745,23.125716,10
113.331427,23.117521,10
113.237793,23.105081,10
113.261008,23.11775,10
113.276272,23.187988,10
113.296275,23.163372,10
113.3983,23.18634,10
113.294438,23.112679,10
113.271064,23.086264,10
113.265451,23.111474,10
113.267066,23.160689,10
113.278766,23.19049,10
113.221696,23.164829,10
113.252296,23.107862,10
113.313496,23.082685,10
113.293115,23.133784,10
113.315528,22.956343,10
113.319796,23.148532,10
113.270385,23.174754,10
113.266906,23.149935,10
113.332749,23.16062,10
113.245431,23.140837,10
113.300669,23.125939,10
113.233264,23.159032,10
113.368931,23.209925,10
113.362409,23.178383,10
113.267452,23.152925,10
113.245128,23.154147,10
113.329994,23.107091,10
113.21818,23.08573,10
113.280095,23.131702,10
113.309834,23.148899,10
113.209805,23.173666,10
113.361424,23.159499,10
113.226149,23.122536,10
113.235007,23.132327,10
113.339804,23.109843,10
113.262992,23.100986,10
113.251137,23.143509,10
113.299875,23.164718,10
113.258798,23.069201,10
113.251479,23.11308,10
113.272925,23.171269,10
113.274883,23.096415,10
113.420345,23.118724,10
113.318322,23.114613,10
113.364684,23.056733,10
113.400192,23.056884,10
113.283173,23.031075,10
113.243344,23.080043,10
113.290623,23.15682,10
113.263093,23.273373,10
113.221512,23.164483,10
113.402375,23.126245,10
113.426332,23.228731,10
113.311715,23.22082,10
113.250053,23.141661,10
113.254991,23.168863,10
113.287301,23.157888,10
113.219022,23.207999,10
113.388228,23.078346,10
113.360415,23.107676,10
113.252357,23.19127,10
113.287922,23.238138,10
113.295852,23.236068,10
113.323687,23.066482,10
113.244358,23.165129,10
113.31156,23.02807,10
113.240878,23.184363,10
113.271791,23.131223,10
113.395662,23.225148,10
113.285882,23.21092,10
113.245443,23.122191,10
113.269377,23.126211,10
113.309776,23.049828,10
113.270283,23.046233,10
113.257674,23.224766,10
113.336679,23.188588,10
113.209727,23.059406,10
113.20986,23.173859,10
113.268939,23.149957,10
113.458325,23.104145,10
113.265851,23.1109,10
113.215079,23.166189,10
113.305635,23.179334,10
113.312696,23.115708,10
113.381068,23.139675,10
113.215139,23.169906,10
113.323282,23.010115,10
113.235863,23.183969,10
113.319533,23.116703,10
113.262896,23.199729,10
113.288003,23.143599,10
113.327049,23.08593,10
113.350405,23.181659,10
113.232178,23.217107,10
113.28203,23.189393,10
113.26419,23.215468,10
113.335195,23.118956,10
113.268317,23.164804,10
113.380742,23.106478,10
113.219646,23.086765,10
113.322345,23.074805,10
113.406903,23.159387,10
113.378501,23.087392,10
113.280336,23.118453,10
113.288421,23.10393,10
