longitude,latitude,weight
113.26816,23.130313,10
113.267663,23.128616,10
113.272888,23.123975,10
113.272035,23.127836,10
113.281986,23.143611,10
113.281831,23.144222,10
113.262488,23.1333,10
113.266054,23.132153,10
113.274919,23.136061,10
113.281998,23.122398,10
113.276167,23.123431,10
113.26265,23.129414,10
113.265389,23.134667,10
113.281817,23.124568,10
113.282632,23.127599,10
113.260806,23.140254,10
113.277591,23.134109,10
113.258895,23.138229,10
113.258763,23.128754,10
113.261195,23.110816,10
113.265949,23.12979,10
113.281955,23.150454,10
113.277224,23.139047,10
113.248443,23.118642,10
113.288816,23.141808,10
113.265056,23.117842,10
113.276231,23.140218,10
113.280401,23.131109,10
113.280307,23.140773,10
113.249475,23.136573,10
113.260044,23.132553,10
113.258231,23.136501,10
113.305238,23.128887,10
113.280753,23.111072,10
113.283797,23.111672,10
113.257817,23.12918,10
113.265873,23.12434,10
113.28683,23.127094,10
113.286671,23.140336,10
113.255197,23.126966,10
113.272687,23.106685,10
113.306025,23.134772,10
113.279172,23.11475,10
113.294426,23.140824,10
113.255542,23.132869,10
113.271511,23.107906,10
113.25202,23.12086,10
113.27663,23.139053,10
113.255972,23.133992,10
113.304821,23.127276,10
113.257316,23.116628,10
113.24921,23.129049,10
113.253969,23.139151,10
113.248143,23.126626,10
113.266345,23.112139,10
113.24165,23.13318,10
113.282406,23.109234,10
113.278598,23.161871,10
113.308546,23.135865,10
113.282577,23.136778,10
113.283664,23.149472,10
113.277342,23.103123,10
113.290998,23.129683,10
113.286969,23.129628,10
113.253063,23.137405,10
113.260883,23.115437,10
113.29726,23.143788,10
113.280237,23.131088,10
113.284841,23.122566,10
113.294177,23.129118,10
113.286464,23.104468,10
113.249336,23.139781,10
113.246461,23.126102,10
113.243685,23.122761,10
113.286434,23.108417,10
113.292839,23.149277,10
113.30066,23.132084,10
113.296983,23.108699,10
113.266532,23.098992,10
113.296141,23.126265,10
113.26464,23.140915,10
113.284094,23.149067,10
113.293972,23.122653,10
113.280639,23.099181,10
113.304997,23.132295,10
113.299919,23.133945,10
113.293064,23.120984,10
113.267038,23.10173,10
113.29879,23.150198,10
113.250164,23.14687,10
113.267399,23.159356,10
113.2688,23.105055,10
113.24952,23.120659,10
113.279469,23.111207,10
113.243896,23.144141,10
113.249574,23.115659,10
113.254259,23.117058,10
113.267647,23.15592,10
113.258971,23.136774,10
113.265663,23.101618,10
113.274638,23.10172,10
113.292076,23.103976,10
113.311659,23.134869,10
113.252545,23.135856,10
113.271414,23.099342,10
113.26153,23.149285,10
113.252121,23.12282,10
113.302323,23.12442,10
113.242073,23.116562,10
113.270042,23.15433,10
113.310346,23.114792,10
113.294737,23.106557,10
113.260557,23.110134,10
113.257092,23.10131,10
113.263181,23.112039,10
113.273521,23.153725,10
113.27796,23.100602,10
113.274879,23.098577,10
