longitude,latitude,weight
113.2720912,23.17009597,1
113.2725189,23.15679157,1
113.2713646,23.15027939,1
113.266381,23.13840591,1
113.2651752,23.13222796,1
113.2660241,23.12732672,1
113.277048,23.12434745,1
113.2835003,23.13222198,1
113.2792732,23.13251641,1
113.2814568,23.12182052,1
113.2924287,23.12062346,1
113.294816,23.12690502,1
113.2970538,23.12342247,1
113.2529595,23.11536542,1
113.2570191,23.11193015,1
113.26257,23.11660063,1
113.2641861,23.12216479,1
113.256659,23.13293523,1
113.2671347,23.12729282,1
113.2714594,23.13382665,1
113.2724109,23.12758069,1
113.2777351,23.1372493,1
113.2850182,23.13665193,1
113.2944837,23.12859033,1
113.3018756,23.12739614,1
113.3032976,23.13326386,1
113.3041168,23.13457241,1
113.2529658,23.10885271,1
113.2570132,23.11840196,1
113.262569,23.11775743,1
113.2548902,23.12996682,1
113.2566611,23.12660966,1
113.2590142,23.1363781,1
113.2563795,23.13070734,1
113.2580483,23.14094708,1
113.2682521,23.14465736,1
113.2645549,23.1529062,1
113.2688852,23.15740416,1
113.267952,23.16752259,1
113.2728568,23.16170744,1
113.2353825,23.13552505,1
113.2438442,23.13494968,1
113.2539745,23.12728376,1
113.2547876,23.13502082,1
113.2602079,23.13502213,1
113.271175,23.13531902,1
113.2651754,23.13131501,1
113.2744369,23.12005233,1
113.2795882,23.12436607,1
113.2750265,23.13216717,1
113.2780128,23.12531106,1
113.2891183,23.12858077,1
113.2851363,23.1274505,1
113.2878015,23.12697442,1
113.2993397,23.12176926,1
113.2529663,23.10834981,1
113.250136,23.11055461,1
113.2447565,23.1123652,1
113.2452325,23.11404988,1
113.2400296,23.12601413,1
113.2342706,23.12258061,1
113.2452333,23.12896597,1
113.249588,23.13503863,1
113.2469746,23.12716566,1
113.2588131,23.13842657,1
113.2625334,23.14106538,1
113.2647807,23.14073964,1
113.2709795,23.13711051,1
113.2645535,23.15104491,1
113.2689697,23.1592727,1
113.2679528,23.16827875,1
113.2566851,23.17276257,1
113.2634992,23.17772727,1
113.2605147,23.18297099,1
113.262369,23.18618032,1
113.2545031,23.19017691,1
113.2671137,23.1938945,1
113.2682464,23.19513236,1
113.252958,23.11711511,1
113.2570121,23.11983672,1
113.2572829,23.11646008,1
113.2583365,23.12763743,1
113.2663454,23.11908972,1
113.2732244,23.12040502,1
113.2795881,23.12444306,1
113.2750263,23.13330112,1
113.2849796,23.13253896,1
113.2902832,23.13094806,1
113.2952754,23.12555161,1
113.2960418,23.1272191,1
113.3096803,23.13475809,1
113.3056371,23.12776263,1
113.319402,23.13506839,1
113.2359955,23.13619108,1
113.2438442,23.13494968,1
113.2547806,23.12729806,1
113.2597346,23.13520882,1
113.2602079,23.13502213,1
113.2705686,23.13509715,1
113.2718273,23.12757359,1
113.2777906,23.12851604,1
113.291918,23.12983907,1
113.2942546,23.13081181,1
113.293641,23.13442385,1
113.3032976,23.13326386,1
113.302359,23.13340946,1
113.3146829,23.13605883,1
113.3216851,23.13754984,1
113.3194283,23.13283798,1
113.3210127,23.12973859,1
113.3290569,23.12904982,1
113.338929,23.1193341,1
113.334235,23.12016145,1
113.3414039,23.12556481,1
113.2689191,23.21440847,1
113.2735322,23.21877049,1
113.265199,23.20210648,1
113.2644715,23.20196072,1
113.2703004,23.19822706,1
113.2574678,23.19255187,1
113.2628723,23.19186825,1
113.2532358,23.18584017,1
113.2537297,23.17460032,1
113.2622205,23.17004836,1
113.2652248,23.17260059,1
113.2598535,23.16765187,1
113.2641106,23.16484104,1
113.2713662,23.15258574,1
113.2663815,23.13138301,1
113.2799345,23.12875474,1
113.2777351,23.1376373,1
113.2856219,23.13085071,1
113.2951241,23.13681916,1
113.2921476,23.12661218,1
113.3016179,23.134616,1
113.299211,23.13546953,1
113.236427,23.12869307,1
113.2505607,23.13505502,1
113.2469746,23.12716566,1
113.2597346,23.13520882,1
113.2590155,23.12912136,1
113.256379,23.13872522,1
113.2659999,23.1415551,1
113.2621791,23.14511363,1
113.2648739,23.15299338,1
113.2718143,23.14677361,1
113.2882738,23.14948315,1
113.2911306,23.14397286,1
113.2917081,23.15232523,1
113.2889858,23.14536421,1
113.2992676,23.14790266,1
113.3037137,23.14736276,1
113.3019072,23.1571836,1
113.3114102,23.15629408,1
113.3131499,23.15690811,1
113.3196123,23.16601706,1
113.318208,23.16385427,1
113.3224538,23.16247232,1
113.602439,23.5291672,1
113.6063251,23.53848866,1
113.5933371,23.53574741,1
113.5925522,23.53954546,1
113.5823303,23.55841073,1
113.5770763,23.56293339,1
113.5688815,23.57057,1
113.5478759,23.56674387,1
113.5371622,23.57237314,1
113.5173868,23.58562015,1
113.5147165,23.58986761,1
113.4934994,23.59369206,1
113.4636705,23.59211018,1
113.4505181,23.60131251,1
113.4327841,23.61890418,1
113.4260207,23.64579482,1
113.418182,23.65219326,1
113.4162487,23.67660658,1
113.424583,23.6851561,1
113.4174383,23.69495776,1
113.602439,23.5291672,1
113.6063251,23.53848866,1
113.5933371,23.53574741,1
113.5925522,23.53954546,1
113.5823303,23.55841073,1
113.5770763,23.56293339,1
113.5688815,23.57057,1
113.5478759,23.56674387,1
113.5371622,23.57237314,1
113.5173868,23.58562015,1
113.5147165,23.58986761,1
113.4934994,23.59369206,1
113.4636705,23.59211018,1
113.4505181,23.60131251,1
113.4327841,23.61890418,1
113.4260207,23.64579482,1
113.418182,23.65219326,1
113.4162487,23.67660658,1
113.424583,23.6851561,1
113.4174383,23.69495776,1
113.602439,23.5291672,1
113.6063251,23.53848866,1
113.5933371,23.53574741,1
113.5925522,23.53954546,1
113.5823303,23.55841073,1
113.5770763,23.56293339,1
113.5688815,23.57057,1
113.5478759,23.56674387,1
113.5371622,23.57237314,1
113.5173868,23.58562015,1
113.5147165,23.58986761,1
113.4934994,23.59369206,1
113.4636705,23.59211018,1
113.4505181,23.60131251,1
113.4327841,23.61890418,1
113.4260207,23.64579482,1
113.418182,23.65219326,1
113.4162487,23.67660658,1
113.424583,23.6851561,1
113.4174383,23.69495776,1
113.2529645,23.11018344,1
113.2575957,23.11894827,1
113.2572834,23.11589418,1
113.2637785,23.11823363,1
113.2614248,23.11918463,1
113.2732177,23.12431643,1
113.2646715,23.13722577,1
113.2715669,23.14476034,1
113.2800848,23.15168251,1
113.2811699,23.14766676,1
113.2832138,23.14191724,1
113.2924642,23.14650252,1
113.2895341,23.14536276,1
113.2921486,23.14796139,1
113.3037179,23.15342962,1
113.30927,23.15030001,1
113.3067568,23.15547016,1
113.3071438,23.1563573,1
113.3218079,23.15663704,1
113.3270616,23.1640806,1
113.3247402,23.16212946,1
113.3293703,23.1677979,1
113.3238153,23.16230857,1
113.3237634,23.16455993,1
113.3108714,23.16461305,1
113.312046,23.15216939,1
113.3053988,23.15682804,1
113.2985887,23.15429898,1
113.2934124,23.15519016,1
113.2958065,23.14559312,1
113.2857606,23.14624616,1
113.2876856,23.149461,1
113.2804138,23.15094327,1
113.2759918,23.14824311,1
113.2690828,23.15868318,1
113.2603549,23.1678787,1
113.263092,23.17367377,1
113.2634991,23.17752123,1
113.2599388,23.18164773,1
113.2620031,23.18805524,1
113.2544991,23.1822421,1
113.2671137,23.1938945,1
113.271489,23.19278146,1
113.2647014,23.20519822,1
113.3300306,23.16927818,1
113.329245,23.15675725,1
113.3261025,23.1534211,1
113.3121777,23.15105993,1
113.3187491,23.15071209,1
113.3117207,23.15329919,1
113.297951,23.14152298,1
113.3081544,23.1336851,1
113.306091,23.12899867,1
113.30287,23.12783503,1
113.2945835,23.13353131,1
113.294652,23.12454752,1
113.2847633,23.10892001,1
113.2844103,23.11521516,1
113.2818783,23.10380173,1
113.2693263,23.10862756,1
113.268816,23.1064008,1
113.2644851,23.0998936,1
113.2618084,23.10658846,1
113.2675448,23.1014652,1
113.2737342,23.10267698,1
113.27018,23.1125465,1
113.2647605,23.11666996,1
113.2658257,23.12751759,1
113.2651207,23.13109714,1
113.2646715,23.13743077,1
113.2715704,23.15082706,1
113.262029,23.15800582,1
113.2679514,23.16692446,1
113.263475,23.17403724,1
113.2634991,23.17752123,1
113.2555081,23.17563907,1
