longitude,latitude,weight
113.285761,23.150245,10
113.31882,23.124674,10
113.29294,23.13766,10
113.243934,23.212567,10
113.26204,23.148099,10
113.305513,23.101254,10
113.245691,23.131165,10
113.292272,23.13937,10
113.271347,23.094176,10
113.374766,23.130027,10
113.297899,23.133226,10
113.345515,22.90575,10
113.2889,23.125312,10
113.24883,23.150044,10
113.258287,23.078639,10
113.268658,23.094774,10
113.254861,23.114899,10
113.478745,23.176801,10
113.355354,23.249589,10
113.268084,23.163637,10
113.301409,23.132988,10
113.29126,23.149848,10
113.29296,23.13938,10
113.292249,23.134397,10
113.240485,23.123322,10
113.284359,23.103075,10
113.336318,23.146962,10
113.240797,23.123293,10
113.26275,23.148696,10
113.294842,23.100146,10
113.301727,23.13354,10
113.299713,23.154001,10
113.263715,23.136873,10
113.285873,23.076758,10
113.292443,23.139138,10
113.239301,23.141507,10
113.314837,23.093741,10
113.335943,23.089373,10
113.343579,23.147541,10
113.216739,23.167257,10
113.276027,23.173381,10
113.295136,23.154012,10
113.333192,23.133441,10
113.251359,23.280836,10
113.245369,23.136998,10
113.251626,23.08022,10
113.255021,23.11262,10
113.244336,23.127517,10
113.452339,23.11211,10
113.299586,23.153871,10
113.230566,23.08971,10
113.276769,23.080679,10
113.312607,23.155992,10
113.32383,23.173178,10
113.266181,23.196829,10
113.332146,23.176208,10
113.284044,23.096746,10
113.348567,23.182009,10
113.293635,23.131348,10
113.327338,23.092568,10
113.285176,23.239219,10
113.27466,23.086936,10
113.264512,23.137375,10
113.229529,23.159553,10
113.295154,23.129808,10
113.327764,23.261494,10
113.282693,23.109438,10
113.287511,23.134019,10
113.307779,23.140893,10
113.335913,23.089356,10
113.282118,23.131836,10
113.24468,23.128455,10
113.245144,23.100689,10
113.242724,23.124311,10
113.341212,23.118753,10
113.235519,23.108279,10
113.324025,23.166919,10
113.238198,23.211976,10
113.240847,23.279499,10
113.249575,23.08057,10
113.250192,23.088132,10
113.321622,22.976963,10
113.270508,23.162384,10
113.281448,23.101971,10
113.267032,23.186447,10
113.442441,23.103776,10
113.341448,23.095636,10
113.234082,23.391516,10
113.258504,23.078194,10
113.292218,23.137582,10
113.209635,23.157494,10
113.238817,23.20625,10
113.299615,23.153472,10
