longitude,latitude,weight
113.271015,23.130246,10
113.270769,23.130008,10
113.270883,23.129295,10
113.271295,23.129338,10
113.271939,23.130545,10
113.271943,23.130539,10
113.272168,23.131395,10
113.273364,23.130549,10
113.272201,23.128159,10
113.273255,23.128572,10
113.267793,23.128638,10
113.273567,23.128012,10
113.270413,23.126831,10
113.269189,23.133784,10
113.272131,23.126595,10
113.265975,23.129047,10
113.270719,23.125358,10
113.270073,23.12525,10
113.276042,23.128607,10
113.265822,23.13267,10
113.267104,23.125715,10
113.264505,23.130469,10
113.264162,23.128741,10
113.264133,23.128753,10
113.265177,23.133955,10
113.268841,23.124133,10
113.268812,23.124133,10
113.273264,23.136338,10
113.268754,23.123994,10
113.264081,23.133712,10
113.277742,23.134198,10
113.275928,23.124375,10
113.277636,23.134933,10
113.262917,23.127272,10
113.278555,23.12659,10
113.276245,23.136519,10
113.269085,23.138184,10
113.269134,23.138188,10
113.269058,23.138196,10
113.266187,23.123289,10
113.261889,23.130783,10
113.261714,23.129031,10
113.261378,23.129141,10
113.28047,23.130202,10
113.280307,23.128427,10
113.262799,23.125062,10
113.262795,23.125065,10
113.280516,23.12911,10
113.262781,23.125037,10
113.262582,23.124995,10
113.262582,23.124995,10
113.262551,23.125024,10
113.262529,23.1249,10
113.262552,23.124874,10
113.262043,23.125584,10
113.263938,23.123179,10
113.279841,23.135239,10
113.278767,23.13666,10
113.26525,23.138779,10
113.261904,23.124582,10
113.264303,23.122182,10
113.276699,23.138782,10
113.272766,23.120151,10
113.268117,23.120292,10
113.269167,23.119945,10
113.269169,23.119949,10
113.281594,23.127016,10
113.258168,23.124377,10
113.28157,23.134127,10
113.259037,23.128511,10
113.280322,23.137123,10
113.259051,23.127543,10
113.282791,23.131756,10
113.258008,23.130048,10
113.26387,23.120298,10
113.265066,23.140889,10
113.281714,23.136815,10
113.268138,23.118433,10
113.277221,23.141002,10
113.276301,23.14149,10
113.282659,23.12448,10
113.259859,23.137526,10
113.276412,23.141561,10
113.260218,23.122128,10
113.264845,23.118632,10
113.27604,23.14243,10
113.284024,23.135764,10
113.284091,23.135777,10
113.261898,23.141166,10
113.257992,23.123339,10
113.257981,23.123289,10
113.259909,23.120764,10
113.256211,23.133551,10
113.285879,23.130374,10
113.261043,23.140903,10
113.256343,23.135085,10
113.275536,23.116674,10
113.255239,23.128581,10
